City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Leningradskiy,RU,2021-01-14 12:33:25,69.3833,178.4167,1.62,92,100,9.53
154,Hobyo,SO,2021-01-14 12:36:34,5.3505,48.5268,79.65,67,0,20.15
155,Oktyabrskoye,RU,2021-01-14 12:36:34,43.0645,44.7417,41.0,100,90,4.47
156,Maputo,MZ,2021-01-14 12:36:34,-25.9653,32.5892,89.6,55,20,16.11
157,Ilulissat,GL,2021-01-14 12:32:23,69.2167,-51.1,21.2,86,75,5.75
158,Maarianhamina,AX,2021-01-14 12:32:45,60.0973,19.9348,24.8,86,90,9.22
159,Denpasar,ID,2021-01-14 12:32:04,-8.65,115.2167,82.4,89,40,10.36
160,Cuajinicuilapa,MX,2021-01-14 12:36:35,16.4667,-98.4167,71.17,84,100,2.51
161,Saryg-Sep,RU,2021-01-14 12:36:35,51.5,95.6,-12.44,87,80,1.61
162,Bethel,US,2021-01-14 12:31:54,41.3712,-73.414,33.01,86,75,2.55
163,Ostrovnoy,RU,2021-01-14 12:33:21,68.0531,39.5131,0.75,92,87,22.95
164,Mujiayingzi,CN,2021-01-14 12:36:36,42.1167,118.7833,7.5,94,100,2.98
165,Khatanga,RU,2021-01-14 12:32:06,71.9667,102.5,-46.89,78,97,4.85
166,Yashan,CN,2021-01-14 12:36:36,22.1975,109.9419,60.48,30,71,2.01
167,Esperance,AU,2021-01-14 12:31:22,-33.8667,121.9,59.0,67,52,14.97
168,Atbasar,KZ,2021-01-14 12:36:37,51.8,68.3333,-13.11,84,0,8.79
169,Thompson,CA,2021-01-14 12:30:06,55.7435,-97.8558,24.8,100,90,6.91
170,Saint-Augustin,CA,2021-01-14 12:36:37,51.226,-58.6502,22.75,95,77,5.32
171,Haflong,IN,2021-01-14 12:36:37,25.1833,93.0333,56.59,61,0,0.38
172,Tuktoyaktuk,CA,2021-01-14 12:36:38,69.4541,-133.0374,-21.28,88,53,2.04
173,Carballo,ES,2021-01-14 12:36:38,43.213,-8.691,51.01,86,98,1.01
174,Jijiga,ET,2021-01-14 12:36:38,9.35,42.8,77.41,23,91,9.8
175,Hibbing,US,2021-01-14 12:36:39,47.4272,-92.9377,23.0,93,40,7.02
176,Baft,IR,2021-01-14 12:36:39,29.234,56.6057,50.77,37,0,8.16
177,Lompoc,US,2021-01-14 12:32:12,34.6391,-120.4579,64.4,81,1,3.44
178,Ouadda,CF,2021-01-14 12:36:39,8.0777,22.4007,103.95,10,13,1.79
179,Pangody,RU,2021-01-14 12:36:39,65.85,74.4859,-1.03,92,95,11.25
180,Meiktila,MM,2021-01-14 12:36:40,20.8667,95.8667,69.67,40,23,4.43
181,Longyearbyen,SJ,2021-01-14 12:32:30,78.2186,15.6401,23.0,80,75,14.97
182,Dickinson,US,2021-01-14 12:32:36,29.4608,-95.0513,48.0,93,1,4.61
183,Gamba,GA,2021-01-14 12:34:06,-2.65,10.0,77.74,82,100,1.77
184,Aktau,KZ,2021-01-14 12:36:41,43.65,51.2,48.2,61,90,20.13
185,Tommot,RU,2021-01-14 12:36:41,58.9564,126.2925,-32.69,76,35,1.61
186,Narsaq,GL,2021-01-14 12:32:18,60.9167,-46.05,28.4,80,75,3.44
187,Kloulklubed,PW,2021-01-14 12:34:02,7.0419,134.2556,78.8,89,75,3.44
188,Makakilo City,US,2021-01-14 12:33:02,21.3469,-158.0858,73.4,83,1,4.61
189,Menongue,AO,2021-01-14 12:36:42,-14.6585,17.691,68.32,83,100,4.38
190,Iqaluit,CA,2021-01-14 12:29:24,63.7506,-68.5145,-18.4,76,1,3.44
191,Zhigansk,RU,2021-01-14 12:36:43,66.7697,123.3711,-40.59,79,53,8.79
192,Norrtalje,SE,2021-01-14 12:36:43,59.758,18.705,28.99,93,75,13.8
193,Colares,PT,2021-01-14 12:36:43,38.7992,-9.4469,55.0,71,75,14.97
194,Royal Tunbridge Wells,GB,2021-01-14 12:33:17,51.1325,0.2633,43.0,97,100,1.01
195,Kavieng,PG,2021-01-14 12:32:31,-2.5744,150.7967,82.81,76,100,11.68
