City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Tasiilaq,GL,65.6145,-37.6368,28.4,93,75,5.55,broken clouds
158,Parakan,ID,-6.4191,106.0081,86.99,57,6,8.37,moderate rain
159,Waipawa,NZ,-41.4122,175.5153,68.0,73,75,25.32,broken clouds
160,Eagle Pass,US,28.7091,-100.4995,48.99,43,1,5.99,clear sky
161,Byron Bay,AU,-28.65,153.6167,80.6,54,58,14.97,broken clouds
162,Marsa Matruh,EG,31.3525,27.2453,53.6,76,40,20.71,light rain
163,Svetlogorsk,BY,52.6333,29.7333,2.59,93,100,6.8,overcast clouds
164,Cherskiy,RU,68.75,161.3,-23.15,86,100,3.2,overcast clouds
165,Gwadar,PK,25.1216,62.3254,71.64,44,0,3.89,clear sky
166,Acheng,CN,45.5454,126.977,3.2,72,0,11.18,clear sky
167,Guardiagrele,IT,42.1954,14.2198,36.0,80,90,3.44,overcast clouds
168,Belmonte,BR,-15.8631,-38.8828,73.4,88,40,3.44,scattered clouds
169,Beloha,MG,-25.1667,45.05,95.77,33,44,7.34,scattered clouds
170,Novyy Urengoy,RU,66.0833,76.6333,-11.78,90,100,17.45,light snow
171,Wysokie Mazowieckie,PL,52.9166,22.5171,-0.99,83,74,6.11,broken clouds
172,Isangel,VU,-19.55,169.2667,86.0,84,75,3.44,broken clouds
173,Kodiak,US,57.79,-152.4072,37.4,100,90,8.03,mist
174,Kenora,CA,49.8167,-94.4337,14.0,92,90,3.44,fog
175,Sisimiut,GL,66.9395,-53.6735,20.5,83,100,18.03,overcast clouds
176,Itacare,BR,-14.2775,-38.9967,74.1,84,0,4.41,clear sky
177,Sioux Lookout,CA,50.1001,-91.917,-0.4,85,90,4.61,overcast clouds
178,Sakaiminato,JP,35.55,133.2333,41.0,70,75,14.97,broken clouds
179,Prachuap Khiri Khan,TH,12.2167,99.75,82.4,74,20,5.75,few clouds
