City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Kipini,KE,84.2,clear sky,-2.5257,40.5262,Delta Sea Mall
202,Kayes,ML,61.11,clear sky,14.0,-11.0,
204,Kavaratti,IN,82.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
212,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
213,Cam Ranh,VN,80.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
214,Los Llanos De Aridane,ES,64.4,overcast clouds,28.6585,-17.9182,Valle Aridane
216,Constitucion,CL,56.66,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
217,Shimoda,JP,51.8,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
219,Binga,ZW,77.32,moderate rain,-17.6203,27.3414,Lakeview Inn Binga
220,Port Lincoln,AU,66.09,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
221,Cockburn Town,TC,77.76,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
223,Mancio Lima,BR,72.43,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
224,Alenquer,BR,75.2,clear sky,-1.9417,-54.7383,Josilene Castro
226,Viedma,AR,54.77,clear sky,-40.8135,-62.9967,Hotel Cristal
227,Coromandel,BR,62.73,light rain,-18.4733,-47.2003,Hotel Dona Adélia
229,Vilhena,BR,70.39,light rain,-12.7406,-60.1458,Hotel Mirage
230,Farah,AF,58.86,clear sky,32.5,62.5,
231,Talara,PE,73.58,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
232,Kismayo,SO,82.38,scattered clouds,-0.3582,42.5454,Agan-Hotel
233,Kamakhyanagar,IN,80.98,clear sky,20.9333,85.55,Panchu Bhai Hotel
234,Clarence Town,AU,75.2,overcast clouds,-32.5833,151.7833,River Downs Cottage
236,Comodoro Rivadavia,AR,57.2,clear sky,-45.8667,-67.5,Austral Hotel
238,Lorengau,PG,83.66,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
240,Taoudenni,ML,52.79,overcast clouds,22.6783,-3.9836,
242,San Rafael,AR,62.98,clear sky,-34.6177,-68.3301,Hotel San Rafael
244,Gorontalo,ID,81.97,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
245,Carnarvon,AU,87.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
246,Caravelas,BR,73.53,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
